Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total.1
31-JAN-2023|ARGO|EQUITY|335557450.0|1035|45000|37038014|0|0|565550|0|83000|0|0|37731564|0|280|0|5378000|11350|0|5100|0|5720|5400450
31-JAN-2023|ARII|EQUITY|3431000000.0|264|117981800|1519823500|62900|0|569739500|126444900|0|0|0|2334052600|0|312867600|0|216944100|2119800|0|1520000|0|76134900|609586400
31-JAN-2023|ARKA|EQUITY|2000000000.0|50|0|1093942500|0|0|893967800|0|0|0|104400|1988014700|0|250100|0|0|5510400|0|4974800|0|0|10735300
31-JAN-2023|ARKO|EQUITY|2928495000.0|585|0|2316903993|0|0|290149200|0|2363200|0|0|2609416393|0|295038107|0|23664600|273400|0|0|0|102500|319078607
31-JAN-2023|ARMY|EQUITY|9006250000.0|50|1153053569|2780487175|5410161|0|1551063707|1962289499|279957887|2541349|526952595|8261755942|0|488927400|0|32396000|1064158|1687200|4800|0|0|524079558
31-JAN-2023|ARNA|EQUITY|7341430976.0|1005|124412997|1119182076|12334600|0|3349124861|140411400|1389857|0|0|4746855791|299600|309622050|2474200|579127128|37680128|1171631476|48731392|22757700|422251511|2594575185
31-JAN-2023|ARTA|EQUITY|446674175.0|2040|0|42052500|0|0|397757025|0|0|0|0|439809525|0|0|0|5350|499500|0|6359800|0|0|6864650
31-JAN-2023|ARTI|EQUITY|7840000000.0|50|74373974|2633606286|739500000|0|3776036700|505451300|27983740|0|38072800|7795024800|0|0|0|100|14590400|0|8340700|0|20669000|43600200
31-JAN-2023|ARTO|EQUITY|13856250000.0|3210|97848158|7039643892|11160094|634500|1094369528|97463161|3328|326400|15|8341449076|12441483|1372606716|86494959|2090218079|1234300|197271580|44908647|1190700|1469871960|5276238424
31-JAN-2023|ASBI|EQUITY|348386472.0|540|6713992|309537614|922|1106|16612344|0|332360|0|0|333198338|0|0|0|1378300|530170|0|1272928|0|0|3181398
31-JAN-2023|ASDM|EQUITY|192000000.0|915|0|31625700|0|13200|16838060|2000000|0|0|0|50476960|0|0|0|26400|481800|0|2252600|0|0|2760800
31-JAN-2023|ASGR|EQUITY|1348780500.0|950|1552500|2452260|0|178000|220796028|549900|128426|500|0|225657614|0|211300|5313000|48684954|629200|4438400|5045585|3453500|4116007|71891946
31-JAN-2023|ASHA|EQUITY|5000000000.0|103|0|3045451500|0|0|1952536000|0|0|0|0|4997987500|0|0|0|256100|1756400|0|0|0|0|2012500
31-JAN-2023|ASIA|EQUITY|2275009490.0|0|250000|16422970|0|83334|1022081498|0|3611365|0|22620680|1065069847|0|334|0|1720002|13516173|0|24374843|0|1153364243|1192975595
31-JAN-2023|ASII|EQUITY|40483553140.0|6000|2495327752|89499340|284969473|2935650|1199560276|1082085413|34938889|43525000|23729930|5256571723|188432517|397274924|1993386220|1493752747|4862830|5294840224|479470943|158218900|2988168932|12998408237
31-JAN-2023|ASJT|EQUITY|1400000000.0|127|30426303|45474333|1083549258|0|149454437|38311153|42070338|0|10462700|1399748522|0|0|0|28278|2600|0|220600|0|0|251478
31-JAN-2023|ASLC|EQUITY|12746354780.0|104|473241900|127053100|78291447|0|1586530161|132552900|494053|0|0|2398163561|0|126350424|0|2322700|2247500|0|1020000|0|325033900|456974524
31-JAN-2023|ASMI|EQUITY|8958380460.0|82|2693479000|2464532100|0|7658500|3682480760|431000|42090400|0|6920800|8897592560|0|8600|0|8976100|21780300|2867500|2620100|0|24535300|60787900
31-JAN-2023|ASPI|EQUITY|681796525.0|97|0|350003000|0|0|310298425|0|21408900|0|0|681710325|0|100|0|36900|14200|0|30000|0|0|81200
31-JAN-2023|ASRI|EQUITY|19649411888.0|162|8187300|9641090360|16936500|0|3397510942|143546249|2212165432|14808500|250000|15434495283|0|109863442|80918427|316158311|8192200|317929084|328281698|2427200|68696243|1232466605
31-JAN-2023|ASRM|EQUITY|304283840.0|1650|15213|33362979|0|0|9533725|0|2931|135|0|42914983|0|206504|0|30518|11075|0|367484|0|2140310|2755891
